"Imp_score","Pathway_Driver","Pathway_Target","Pathway_Target.1","Pathway_Target.2"
"DOWN_SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN",1.70954934314484,0.270064235236467,4.04242044579199,3.55730988243071,1.44372404660841
"DOWN_REACTOME_ADAPTIVE_IMMUNE_SYSTEM",1.57469415802584,5.55337289231646,-4.9044518729551,-5.67105149671395,1.20400175800156
"DOWN_HOSHIDA_LIVER_CANCER_SUBCLASS_S2",0.82778845740165,-1.00167398102069,4.72577977311852,3.5326627694064,4.26063909403171
"DOWN_REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",0.606237510367949,-9.20178415071008,-0.980093754795797,-2.19301531874693,3.44567336555378
"DOWN_WEI_MYCN_TARGETS_WITH_E_BOX",0.585010264731796,-5.02167106809707,11.5590218110601,11.951056087866,2.88579841845718
"DOWN_CERVERA_SDHB_TARGETS_1_DN",0.580711634694571,0.837257242152859,-0.973664743445894,-1.14848866405473,0.384820822874586
"DOWN_SHEN_SMARCA2_TARGETS_UP",0.498993165122692,2.84289637628777,5.59992968405594,5.01978338396429,2.28370679394083
"DOWN_LEE_BMP2_TARGETS_DN",0.461204438854231,-7.20976407447654,19.5247170305603,18.3366431048707,5.6629702863974
"DOWN_HAHTOLA_MYCOSIS_FUNGOIDES_SKIN_UP",0.396859822042011,-1.65149193961413,-0.543765976271595,-0.774123868868364,0.684029257545143
"ONUP_HSIAO_HOUSEKEEPING_GENES",0.396622363328244,-6.70641159582782,-2.44160664878896,-3.69590522335075,3.09064456775971
"DOWN_KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_UP",0.376648621137334,6.68163550903304,6.41327760614642,6.34276545454591,1.80346912348196
"DOWN_IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR",0.372167734336581,-2.39993470381676,2.73160137978451,2.5836399923422,1.02777539562589
"DOWN_LI_INDUCED_T_TO_NATURAL_KILLER_UP",0.353269376411771,1.25305269546176,-3.6357781110196,-3.65775303976478,-0.876289859450109
"DOWN_KAN_RESPONSE_TO_ARSENIC_TRIOXIDE",0.33383248166936,0.63556548281965,2.08199541699906,1.98240585611061,1.10995039891259
"DOWN_MCBRYAN_PUBERTAL_BREAST_4_5WK_UP",0.33381668547194,3.95600501163974,-1.30857237782371,-1.35901548075181,-0.0260063165868498
